timestamp,category,ticker,title,decision,yes_bid,yes_ask,last_price,stake,model_prob_pct,market_prob_pct,edge_pct,confidence_pct,reason
2026-07-10T11:17:26,Weather,KXHIGHCHI-26JUL10-B81.5,"Will the high temp in Chicago be 81-82° on Jul 10, 2026?",BUY NO,0.6500,0.6900,0.7000,55.61,0.0,67.0,-67.0,83.0,"Model 0.0% vs Market 67.0%, edge -67.0%, confidence 83.0%"
2026-07-10T21:39:45,Tennis,KXATPMATCH-26JUL11BRAGOM-BRA,Will Raul Brancaccio win the Brancaccio vs Gomez: Qualification Round 1 match?,BUY YES,,0.485,,28.61,53.8,48.5,5.3,50.0,"Model 53.8% vs Market 48.5%, edge +5.3%, confidence 50.0%, tier: Tour (250/500)"
2026-07-10T21:39:45,Tennis,KXATPMATCH-26JUL11CINZAH-CIN,Will Federico Cina win the Cina vs Zahraj: Qualification Round 1 match?,BUY NO,,0.87,,15.98,82.0,87.0,-5.0,50.0,"Model 82.0% vs Market 87.0%, edge -5.0%, confidence 50.0%, tier: Tour (250/500)"
2026-07-11T16:34:37,Futures,KXATP-26USO-SIN,Will Jannik Sinner win the US Open Men's Singles?,BUY NO,0.5600,0.5700,0.5700,12.19,53.5,56.5,-3.0,,"Polymarket 53.5% vs Kalshi 56.5%, edge -3.0%, tournament: US Open"
2026-07-12T08:14:53,Weather,KXHIGHNY-26JUL12-B82.5,"Will the **high temp in NYC** be 82-83° on Jul 12, 2026?",BUY NO,0.6200,0.6300,0.6200,54.61,5.2,62.5,-57.3,83.3,"Model 5.2% vs Market 62.5%, edge -57.3%, confidence 83.3%"
2026-07-12T11:02:05,Futures,KXATP-26USO-ZVE,Will Alexander Zverev win the US Open Men's Singles?,BUY NO,0.1200,0.1400,0.1300,54.61,6.5,13.0,-6.5,,"Polymarket 7.2% & Elo 5.8% both vs Kalshi 13.0% (Polymarket edge -5.8%, Elo edge -7.2%), tournament: US Open"
2026-07-14T11:55:54,Weather,KXHIGHMIA-26JUL15-B94.5,"Will the **high temp in Miami** be 94-95° on Jul 15, 2026?",BUY NO,0.5200,0.5300,0.5200,54.61,0.0,52.5,-52.5,89.1,"Model 0.0% vs Market 52.5%, edge -52.5%, confidence 89.1%"
2026-07-14T11:56:33,Economics,KXJOBLESSCLAIMS-26JUL16-205000,"How many initial jobless claims will there be the week ending Jul 11, 2026?",BUY NO,0.9300,0.9800,0.9300,10.0,84.9,95.5,-10.6,,"Model 84.9% vs Market 95.5%, edge -10.6% (FRED trend model, last actual 215000.0, forecast 215583)"
2026-07-14T11:57:24,Futures,KXATP-26USO-ALC,Will Carlos Alcaraz win the US Open Men's Singles?,BUY NO,0.2700,0.2800,0.2700,40.45,23.0,27.5,-4.5,,"Polymarket 23.0% & Elo 12.9% both vs Kalshi 27.5% (Polymarket edge -4.5%, Elo edge -14.6%), tournament: US Open"
2026-07-15T10:00:59,Weather,KXHIGHPHIL-26JUL15-T98,"Will the **high temp in Philadelphia** be <98° on Jul 15, 2026?",BUY YES,0.0900,0.1100,0.1100,58.94,86.1,10.0,76.1,90.0,"Model 86.1% vs Market 10.0%, edge +76.1%, confidence 90.0%"
2026-07-15T10:01:23,Economics,KXJOBLESSCLAIMS-26JUL16-215000,"How many initial jobless claims will there be the week ending Jul 11, 2026?",BUY YES,0.3100,0.3800,0.3900,10.0,52.3,34.5,17.8,,"Model 52.3% vs Market 34.5%, edge +17.8% (FRED trend model, last actual 215000.0, forecast 215583)"
2026-07-15T10:01:23,Economics,KXJOBLESSCLAIMS-26JUL16-220000,"How many initial jobless claims will there be the week ending Jul 11, 2026?",BUY YES,0.1800,0.2200,0.2100,10.0,33.3,20.0,13.3,,"Model 33.3% vs Market 20.0%, edge +13.3% (FRED trend model, last actual 215000.0, forecast 215583)"
2026-07-15T10:01:23,Economics,KXJOBLESSCLAIMS-26JUL16-210000,"How many initial jobless claims will there be the week ending Jul 11, 2026?",BUY YES,0.5800,0.5900,0.5900,10.0,70.7,58.5,12.2,,"Model 70.7% vs Market 58.5%, edge +12.2% (FRED trend model, last actual 215000.0, forecast 215583)"
2026-07-17T23:32:37,Weather,KXHIGHMIA-26JUL18-T88,"Will the **high temp in Miami** be <88° on Jul 18, 2026?",BUY YES,0.0100,0.0200,0.0200,50.04,77.0,1.5,75.5,78.8,"Model 77.0% vs Market 1.5%, edge +75.5%, confidence 78.8%"
2026-07-17T23:32:37,Weather,KXHIGHDEN-26JUL18-T91,"Will the **high temp in Denver** be <91° on Jul 18, 2026?",BUY YES,0.0300,0.0500,0.0500,50.04,74.6,4.0,70.6,88.9,"Model 74.6% vs Market 4.0%, edge +70.6%, confidence 88.9%"
